Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $290.88/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xbf7be20fd3aac82db0ef0b16062f7a9aab92e0810dc94d45809f9062f80691c0,8651220,1624764503,2021/6/27 3:28,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xe9e32ed92bba40f48b4779771ed79542e3dd8acd,,0,0,0,0.00022243,0.064700438,291.21,,,Approve
0x05f974b47f4db59cdfb1c0f81e0d24a475dd53eb0e37d05a3b2cc3016c693362,8651230,1624764533,2021/6/27 3:28,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.00068851,0.200273789,291.21,,,Swap Exact Tokens For ETH
0x63ad2acb987c40e003c075f6448df3e2f3ac0a181fea338f2a4936a46c0c3e5c,8651443,1624765172,2021/6/27 3:39,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xc78688e6980ec7d0c80c87bd3985147693993c37,,0,0,0,0.000226226,0.065804561,291.21,,,Approve
0x4e3cd670c708b14ad0331ea7ff305fb55e8662a9f7e431eddb0f2092a43f170d,8680751,1624853508,2021/6/28 4:11,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x41515885251e724233c6ca94530d6dcf3a20dec7,,0,0,0,0.000264378,0.076902273,290,,,Approve
0x2594a12f2142e8ca0203239925fb5016b280deacf05a44929b5516fbc9eaadcd,8680761,1624853538,2021/6/28 4:12,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x41515885251e724233c6ca94530d6dcf3a20dec7,,0,0,0,0.000149178,0.043392897,290,,,Approve
0x66c8e44e48f3a0f189cd9f23e0adf6408fe9b07690cc2ebfc4c4b7cf13f6964c,8680768,1624853559,2021/6/28 4:12,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x41515885251e724233c6ca94530d6dcf3a20dec7,,0,0,0,0.000149178,0.043392897,290,,,Approve
0xdbd42dbe8a31333ccbc44d3e8ff2af8f3b0ab609d33e6d92947f3964b886dc9f,8680851,1624853808,2021/6/28 4:16,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xe7463a410f94127b7f4d3e7b882b4bf5d2011eed,,0,0,0,0.00033622,0.097799674,290,,,0xc51d673a
0x583523e9f9bd571f1255aa8381ef287c2f21fa36213374aa9a0df2f5d0f30f1a,8717830,1624965523,2021/6/29 11:18,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.001064875,0.309750811,300.78,,,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens
0x23e44733e0da7703b5fc656eb7de6e1be351595d2c4bae5104fd4cf0295b67da,8722404,1624979342,2021/6/29 15:09,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xad667da40c4c2fe17e1af7a6e9e83a80f4538be0,,0,0.2788,81.097344,0.0001071,0.031153248,300.78,,,Transfer
0x051cd93744264622323caa5ab634b5f1362edf1553fd51e54e31351e61f0f801,9225166,1626493459,2021/7/17 3:44,0xdccf3b77da55107280bd850ea519df3705d1a75a,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,,0.09950631,0,28.94439545,0.00021,0.0610848,300.59,,,Transfer
0xce0d64c54eceaa0ed9511cda32ec3412c7d13ad1675e9a72ac006d635639651c,9225176,1626493489,2021/7/17 3:44,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xec5648918e81f98e062acc0a8ce8d86a0c9c211d,,0,0.007522556,2.188161203,0.00265638,0.772687814,300.59,,,Pray
0xc42f12cbd45d05d1d97539ef67afb6712dfe0fad7f8318370e13e0004bf303ca,9225196,1626493549,2021/7/17 3:45,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xec5648918e81f98e062acc0a8ce8d86a0c9c211d,,0,0.007522556,2.188161203,0.002647865,0.770210971,300.59,,,Pray
0x94e3eae1ac9cc5993ee7f84a24af2292f96bbec2ea01bb1843314495830412b3,9225392,1626494137,2021/7/17 3:55,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xec5648918e81f98e062acc0a8ce8d86a0c9c211d,,0,0,0,0.00084602,0.246090298,300.59,,,Sacrifice
0x577c5d32caba807494cd943d2d49b7ca0f11385e644afa75635d843f238f6da1,9225430,1626494251,2021/7/17 3:57,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xec5648918e81f98e062acc0a8ce8d86a0c9c211d,,0,0.007522556,2.188161203,0.00219944,0.639773107,300.59,,,Melt
0x3929a5570ba790ed3fa53babb19b18685368924ccff6cb9f8dcf168532b78823,9225443,1626494290,2021/7/17 3:58,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xec5648918e81f98e062acc0a8ce8d86a0c9c211d,,0,0.007522556,2.188161203,0.00260238,0.756980294,300.59,,,Pray
0xf02540254847f53b3ff62af1bda53f59d7cb9706b1347edec8158dd776d40bf9,9231375,1626512086,2021/7/17 8:54,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xec5648918e81f98e062acc0a8ce8d86a0c9c211d,,0,0.007514007,2.185674383,0.002722865,0.792026971,300.59,,,Pray
0x7c0b19570d8e736d9affb67bb08c26a5ef2c7028b685e8383269e80db2198fec,9231385,1626512116,2021/7/17 8:55,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xec5648918e81f98e062acc0a8ce8d86a0c9c211d,,0,0.007514007,2.185674383,0.00260238,0.756980294,300.59,,,Pray
